title,release_year,description,type,rating,runtime,imdb_rating,genre,director,stars,gross
Love Actually,2003.0,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Movie,R,135.0,7.6,"Comedy, Drama, Romance",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney, ",$59.70M
National Lampoon's Christmas Vacation,1989.0,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Movie,PG-13,97.0,7.5,Comedy,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, ",$71.32M
Spirited,2022.0,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Movie,PG-13,127.0,6.6,"Comedy, Family, Musical",Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page, ",
Home Alone,1990.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Movie,PG,103.0,7.7,"Comedy, Family",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, ",$285.76M
How the Grinch Stole Christmas,2000.0,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Movie,PG,104.0,6.3,"Comedy, Family, Fantasy",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor, ",$260.04M
Elf,2003.0,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Movie,PG,97.0,7.1,"Adventure, Comedy, Family",Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel, ",$173.40M
It's a Wonderful Life,1946.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Movie,PG,130.0,8.6,"Drama, Family, Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ",$12.2M
White Christmas,1954.0,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Movie,Not Rated,120.0,7.5,"Comedy, Musical, Romance",Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, ",$30.00M
Die Hard,1988.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Movie,R,132.0,8.2,"Action, Thriller",John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, ",$83.01M
The Grinch,2018.0,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Movie,PG,85.0,6.3,"Animation, Comedy, Family",Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams, ",$270.62M
